,h,hw,ps,df,il,gc,crm,sc,sf,af,id,lw,sd,sb
,a,amo,n,k.o. *tree bearing edible *fruit; the *breadfruit; [%*Artocarpus~altilis|],,,bakar$1,said to be TM,,,,,,
,a,ampa,,,,,ampat,,,,,,,
,a,ampar,v,to *open~up; to *spread~out (e.g.; a sheet; a mat; etc.),,,,,,ampari,,,,
,a,ampar,v,to *spread s.t. out for s.o.,Ampari aku tikar. |Spread a mat for me.,,,,,ampar akang,,,,
,a,ampar,v,to *spread s.t. out (at s.o.'s request),,,,,,baampar,,,,
,a,ampar,vi,to be *spread~out ; to *sleep indiscriminately on the floor,Ari malang kami tidu baampar. |Last night we slept on mats.,,,,,naampar,,,,
,a,ampar,vi,*fallen down (of broad flat objects; e.g. a sheet of plywood or zinc roofing),,,,,,,,,,
,a,ampas,v,to *strike down,,,,,,,,,,
,a,ampas,n,*sediment,te ampasa | tea dregs,,,,,ampasi,,,,
,a,ampas,v,to *fall~on s.t. or s.o.,Kayu muampasi rumana. |A tree fell on his house.,,,,,naampas,,,,
,a,ampas,vi,to *trip and to *fall ; to have *collapse|d,barang ribut kap nang kayu naampas| Because of the typhoon; what else?; the trees,,,,,naampasi,,,,
,a,ampas,v,to have *fall|en on s.t.,,,,,,,,,,
,a,ampat,num,*four,,,,,,,,,,
,a,ampong,n,*forgiveness (esp. of s.o. of higher status); *absolution,Harap ampong de kami dangang. |We hope you'll forgive us.,,,,,,,,,
,a,amporing,n,k.o. *legume (requiring boiling); *rice~bean;  [%*Vigna~umbellata|] ; k.o. *bean; *mung~bean;  [%*Vigna~radiata|] ; k.o. *bean ; k.o. *vine; [%*Vigna~marina|] ; k.o. *vine ; k.o. red *bean ; k.o. *shrub; [%*Tephrosia~purpurea|],,,biraro ; kacang,,food ; food ; food ; plant ; food ; plant,,amporing ijo ; amporing kayu ; amporing paisu ; amporing sela ; amporing tanggalaot,,,
,a,ampunokang,,,,,mampunokang,,,,,,,
,a,ampung,,,,,ampong,,,,,,,
,a,amuk,,,,,mangamuk,,,,,,,
,a,aml,n,good *works; good *deeds,,,,,,,,,,
,a,ana seni,n,*children; *youth; *kids,ini ana seni sakarang basalng pasi duduk bangaji ilakat bacarita | Kids nowadays; if,,,,,,,,,
,a,ana-anadara,vi,*immature; not *full-grown (of trees),,,,,,,,,,
,a,anagakang,v,to *pawn s.t.,,,,,,anagakangi,,,,
,a,anagakang,v,to pawn s.t. for s.o.,kau muanagakangi radioku ini hadiki | Please pawn my radio for me.,,,,,anagakang akang,,,,
,a,anagakang,v,to pawn s.t. at s.o.'s request,,,,,,baanagakang,,,,
,a,anagakang,vi,to engage in pawning,ia tala rugi po ia baanagakang binina amasa| He suffered a financial loss and then took,,,,,,,,,
,a,anak,n,*child; *offspring ; first child; *eldest child ; *baby; *infant ; illegitimate child <*bastard> ; *nephew; *niece ; *twin ; motherless child; *orphan ; *foster-child; adopted child ; *step-child ; *step-child ; fatherless child; *orphan ; *orphan; with both parents dead ; *miscarriage,anaku | my child ; perna bawali inycana muba: anaka sondor surat | Once Bawali over there was traveling,,kamanakang ; kambar,,kinship ; health,baranak,anak aono ; anak dede ; anak hara/m jada ; anak kamanakang ; anak kambar ; anak piatu ; anak piara ; anak tiri ; anak watok ; anak yati/m ; anak yati/m piatu ; anaka rodak,,,
,a,anak,vi,to give *birth; to have a *baby,,,,,,paranak akang,,,,
,a,anak,v,to give birth to s.o.,,,losung anaka ; ana seni ; andeket ; paranakang ; saparnakang ; sapasanakang,,,,,,,
,a,anam,num,*six; esp. in compounds,anam ratus | six hundred ; anam pulu | sixty,,anang,,,,,,,
,a,anandeket,,,,,andeket,,,,,,,
,a,anang,num,*six,anang ari | six days,,anam,,,,,,,
